,principal component 1,principal component 2,artists
283,-2.317147552,0.043895825,The Rolling Stones
284,-0.016322363,2.266864571,Bob Dylan
285,1.006996945,1.570959946,The Beach Boys
286,-0.956699767,-0.188731567,The Rolling Stones
287,-0.1062129,-0.883367268,The Rolling Stones
288,-0.572991362,-0.650235803,The Beach Boys
289,-1.540223771,-1.578748005,The Rolling Stones
290,-0.309943357,-1.206952787,Bob Dylan
291,-1.196603047,1.890407985,Frank Sinatra
292,-1.367722621,2.22502958,Bob Dylan
293,1.382819096,-0.005110348,The Beach Boys
294,-0.704388486,1.779463962,The Beach Boys
295,-0.686904847,0.878292311,The Beach Boys
296,-1.309053749,-0.173489568,The Rolling Stones
297,-0.505975114,-0.391257846,The Rolling Stones
298,1.001325932,-0.358186088,Bob Dylan
299,-0.82150736,1.820616634,The Beatles
300,1.181149525,-1.496081076,The Beatles
301,-0.034568953,-1.322034697,Bob Dylan
302,0.110912649,-1.722742113,Bob Dylan
303,0.362567076,-0.634089106,The Beach Boys
304,0.820852122,0.135485626,Bob Dylan
305,0.381900022,0.256197173,The Rolling Stones
306,-1.952293135,-1.167108848,The Beach Boys
307,2.753097144,-0.071023438,The Beatles
308,0.487246492,-0.085340707,Bob Dylan
309,-1.06474342,-1.342894107,Elvis Presley
310,0.214577279,-0.673911554,The Beatles
311,0.693548769,-0.767290927,The Beach Boys
312,0.059097444,-0.411906792,Elvis Presley
313,3.414088782,0.257128406,The Beach Boys
314,1.100830715,0.635612696,Johnny Cash
315,-1.329805093,0.126542436,Johnny Cash
316,1.231919769,1.588945661,Johnny Cash
317,2.670657898,1.174577531,Frank Sinatra
318,0.69911955,-0.656927143,Frank Sinatra
319,2.934031336,0.142360133,Elvis Presley
320,-0.985730018,1.096709257,Johnny Cash
321,-0.115970408,2.566572266,Led Zeppelin
322,1.033542133,-0.483273518,The Rolling Stones
323,0.366455341,-0.361011926,Elvis Presley
324,-0.69207894,-0.356866775,The Beach Boys
325,-0.429554486,3.139981046,Led Zeppelin
326,-1.561461129,1.943265949,Johnny Cash
327,-0.948533324,1.309181768,Johnny Cash
328,2.233960419,0.343549416,Led Zeppelin
329,-1.765517351,1.407194366,Led Zeppelin
330,1.052181471,1.214416084,Led Zeppelin
331,-0.838005887,-1.888639269,Johnny Cash
332,-0.860022485,0.455059013,Led Zeppelin
333,1.392812176,0.967563869,Elvis Presley
334,1.052905124,-0.061879401,Bob Dylan
335,-2.780250809,2.35256288,The Rolling Stones
336,-2.262694475,-0.530015452,The Rolling Stones
337,1.681043144,-0.359879846,Bob Dylan
338,-2.262694475,-0.530015452,The Rolling Stones
339,-3.174398879,-0.386390581,The Rolling Stones
340,-0.132076797,0.062462014,Elvis Presley
341,-1.478466044,1.692840619,The Rolling Stones
342,-1.251334586,1.984292342,Led Zeppelin
343,1.140051331,-0.503421468,Bob Dylan
344,-1.096452668,-1.151276054,Bob Dylan
345,-2.033027237,3.911197118,Bob Dylan
346,1.837643565,-0.118506064,Johnny Cash
347,-0.736847757,-0.267180014,Bob Dylan
348,-2.608849242,2.878469461,Bob Dylan
349,0.81031556,-2.176118838,Johnny Cash
350,-2.372052184,2.328533576,Bob Dylan
351,0.690189236,0.42519576,Bob Dylan
352,-1.402033314,-0.130451339,Led Zeppelin
353,-0.86107476,0.87897617,Led Zeppelin
354,-0.176235864,-0.082687182,Elvis Presley
355,-2.969578783,1.5217239,The Rolling Stones
356,0.886893942,-0.333880307,Bob Dylan
357,-1.338346551,0.823408365,Led Zeppelin
358,-0.815995974,-2.202798282,Bob Dylan
359,0.496941103,-0.506990542,The Rolling Stones
360,-1.756068491,1.640685973,Led Zeppelin
361,-2.526811368,0.829638733,Led Zeppelin
362,-1.665482134,-0.64590758,Led Zeppelin
363,-0.458104427,0.044877936,Bob Dylan
364,-2.528002051,-1.013651493,Bob Dylan
365,-1.39314161,0.269113727,The Beatles
366,-1.435720314,1.051728817,The Beatles
367,1.329576741,-0.395084989,Bob Dylan
368,-1.057514685,0.622804354,Bob Dylan
369,-0.723915053,-0.180388609,Frank Sinatra
370,-2.569191029,-1.232054089,Eminem
371,1.515646117,-0.431333999,Frank Sinatra
372,2.435107726,-0.08996996,Elvis Presley
373,-2.03015298,1.504185377,Eminem
374,-1.350907587,-1.119080638,Elvis Presley
375,-2.549708797,0.458973163,Eminem
376,-0.914206225,-0.341223967,Led Zeppelin
377,-3.029428632,-0.296365573,Eminem
378,-1.805825218,0.083269878,Eminem
379,-1.875361178,0.152124136,Eminem
380,-1.708805415,-0.7050613,Eminem
381,-1.789599638,-0.927278622,Drake
382,-2.079202135,1.829262977,Eminem
383,0.033826259,0.043814372,Drake
384,-1.490057667,0.196798243,Eminem
385,-0.86217354,-0.843158684,Drake
386,-3.17566657,-0.730442482,Eminem
387,-1.891820558,-0.966945065,Eminem
388,-2.234708102,1.529513368,Johnny Cash
389,-1.880319886,-1.436071646,Johnny Cash
390,-0.746083075,-2.078616519,Johnny Cash
391,0.60626868,-0.670961705,Johnny Cash
392,2.52215212,1.533812006,Frank Sinatra
393,-1.008051509,-1.9271668,Johnny Cash
394,-0.268259662,-1.486142812,Johnny Cash
395,-0.049809862,-1.607808242,Johnny Cash
396,3.059214456,0.58052283,Frank Sinatra
397,0.650056604,0.013189536,Johnny Cash
398,-0.079658588,-2.243643978,Johnny Cash
399,3.253855448,0.696460035,Frank Sinatra
400,-0.389806992,-2.44934036,Johnny Cash
401,-0.989143937,0.029363269,Johnny Cash
402,0.048413441,-0.941256653,Johnny Cash
403,-0.231769157,-0.997523723,Johnny Cash
404,0.215698788,-1.355581579,Johnny Cash
405,-0.231273091,-0.107947739,Johnny Cash
406,0.686368929,-1.885501242,Johnny Cash
407,-0.187950783,-2.520437777,Johnny Cash
408,3.499451917,0.339718848,Frank Sinatra
409,0.898042229,-1.00827271,Johnny Cash
410,2.506873136,0.799127913,Frank Sinatra
411,3.000897053,0.70116151,Frank Sinatra
412,1.767580929,-0.751349828,Johnny Cash
413,2.010103703,-0.61314554,Johnny Cash
414,2.582665534,1.229765944,Frank Sinatra
415,0.716606616,0.186051406,Johnny Cash
416,-1.75077246,0.842712488,The Beach Boys
417,0.691593062,-1.400488135,Elvis Presley
418,-1.420126729,-0.832370569,The Beach Boys
419,-1.12918747,1.663687101,The Beach Boys
420,-2.728638536,0.929708608,The Beach Boys
421,1.682108534,-1.294264214,Bob Dylan
422,-2.061967302,-0.019793488,The Beach Boys
423,1.320277503,-0.105878013,Bob Dylan
424,1.92336991,-1.167448536,Bob Dylan
425,-1.008171247,-1.349777506,The Beach Boys
426,-1.280477379,-1.515769276,Elvis Presley
427,-1.700462392,-0.580616244,The Beach Boys
428,-1.777775792,-1.857548629,The Beach Boys
429,-1.911068417,1.759254736,The Beach Boys
430,-1.829600978,-1.231864621,The Beach Boys
431,0.409398388,-0.35808102,Elvis Presley
432,-0.953233675,-1.464933037,Johnny Cash
433,0.912024171,-0.755809384,The Beach Boys
434,1.48481416,0.510548545,Bob Dylan
435,1.619514279,-0.923582273,Bob Dylan
436,1.960672414,-0.460340816,Bob Dylan
437,-1.777347711,-1.803466808,The Rolling Stones
438,0.694355982,0.404079135,The Beach Boys
439,-0.276818352,0.40686733,The Rolling Stones
440,-0.44389755,-1.152088331,Frank Sinatra
441,0.94567277,-0.501062937,Frank Sinatra
442,0.574422634,-1.556984724,Johnny Cash
443,-1.639593243,-0.122933569,The Rolling Stones
444,-0.967756986,0.370821248,Elvis Presley
445,3.020721,0.279733837,Frank Sinatra
446,3.007743351,0.565045983,Frank Sinatra
447,0.353377804,0.056552966,The Beach Boys
448,0.667437473,-0.191599452,The Beach Boys
449,-0.592955824,-0.143455864,The Rolling Stones
450,-1.482105635,-0.034064795,The Rolling Stones
451,-2.695841808,-0.418656891,The Beach Boys
452,-0.102843323,0.082756727,The Beach Boys
453,-1.541919662,-1.341468706,The Beach Boys
454,-1.439375323,2.391282671,Bob Dylan
455,3.643652381,0.625407882,Frank Sinatra
456,0.253547901,-0.580882186,The Beach Boys
457,-2.066368204,0.564330173,The Beach Boys
458,3.156511758,0.493960244,Frank Sinatra
459,-1.141408659,-1.257274691,The Beach Boys
460,-1.563785717,-0.174232874,The Beach Boys
461,-1.159042969,0.024744664,The Beach Boys
462,0.877137004,-0.178022278,The Beach Boys
463,0.724835885,0.154454336,Johnny Cash
464,-0.591344253,0.542373523,The Beach Boys
465,2.063280114,-0.545730527,Elvis Presley
466,-1.286119993,0.733536236,The Beach Boys
467,-1.812806792,3.444704499,Bob Dylan
468,-0.148539917,2.356688807,Bob Dylan
469,-0.584254349,-0.832478736,The Beach Boys
470,0.825067706,2.527553255,Bob Dylan
471,-1.026670844,-1.092580933,Frank Sinatra
472,1.358329463,2.052703545,The Beach Boys
473,0.365132844,2.677482556,Bob Dylan
474,3.676566523,0.845218017,Elvis Presley
475,1.405879447,0.700631565,Bob Dylan
476,-1.158104797,-1.077848342,Bob Dylan
477,1.537427424,-1.19527515,The Beach Boys
478,0.958532808,-0.563136649,The Beatles
479,-0.869796766,-0.54111564,The Beatles
480,1.056108856,0.703732807,The Beach Boys
481,-0.840081493,-1.207049934,The Beatles
482,1.503389604,-0.752939321,The Beatles
483,-0.328381274,-0.138308275,The Beatles
484,-0.81061835,-0.587835395,The Beatles
485,-0.394003744,-0.931565509,The Beatles
486,1.028943024,0.47500208,The Beatles
487,-1.137688515,1.439379781,Elvis Presley
488,0.721200633,0.176329583,Johnny Cash
489,-1.039334391,-1.060184538,Elvis Presley
490,0.922567314,-0.204541872,Johnny Cash
491,2.688205463,2.522779448,The Beach Boys
492,0.156520573,2.02970971,Johnny Cash
493,-0.190621869,-0.373764655,The Beatles
