principal component 1,principal component 2,year,popularity
-0.661763562,-0.745939126,1973,47
1.004209791,-1.695627049,1988,48
-1.129088844,-0.179038458,1988,47
-2.129447701,0.056076601,1988,48
-1.746439391,-0.012901406,2000,56
-2.430477026,0.167253472,2000,56
-0.998915378,-0.554737117,2000,56
1.501902596,0.884384332,2000,55
0.6302226,-0.52859281,2000,55
1.442213375,-0.098778178,2000,54
-1.05345385,0.262418618,2006,63
-0.277074045,-0.432877746,1967,39
-2.735701649,0.917577758,1967,38
-2.337354013,0.964261071,1967,38
-1.315124996,-0.239997833,1967,41
0.949694574,3.247890018,1967,36
-1.761108887,-0.411906692,1967,38
1.035843359,-1.49029893,1967,41
-1.490860374,1.168052094,1967,38
0.211745022,3.320544112,1967,38
1.726868821,2.180065957,1973,45
1.975973089,-0.187466967,1973,44
-2.266536789,0.749481923,1973,47
-0.641308592,-1.558476219,1988,44
-1.020009271,-0.249160829,1988,48
1.112730497,-0.24966026,1988,45
-0.709758925,0.573386648,1988,42
-0.875828601,0.988786722,1967,35
1.828668393,2.757148423,1967,34
2.870245884,-1.311014755,1967,35
-2.286006098,0.879581311,1967,36
2.346325524,-0.415986125,1967,35
0.148009621,0.536195102,1967,34
-2.28308867,-0.859032276,1973,42
0.003904583,-0.199814484,1973,43
0.40830213,-0.620785937,1973,42
0.857657819,-0.620034015,1973,42
-0.458263487,-0.881495682,1973,42
-0.561160648,-0.111528707,1973,42
-1.794196968,-0.893835293,1973,42
0.259879573,0.342347424,1973,42
2.95046979,-0.612441079,1973,42
-1.909415419,-0.629851781,1995,45
2.092382609,0.027108547,1967,33
